SPI-H,SPI-A,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
64.3,42.2,-1,2.14,2.08,1.83,1.78
76.1,69.7,-1,2.17,2.08,1.82,1.77
45.3,59.5,-0.25,1.86,1.82,2.11,2.05
59.5,91.5,2,1.84,1.8,2.12,2.07
65.1,76.1,0,2.08,2.01,1.91,1.85
42.2,69.2,0.25,2.33,2.28,1.7,1.66
72.2,70.2,-1,2.3,2.21,1.75,1.69
75.3,45.3,-0.5,1.85,1.8,2.15,2.08
69.7,78,1,2,1.96,1.95,1.9
58.8,61.9,-0.5,1.92,1.88,2.05,1.99
76.9,64.3,-1,2.37,2.26,1.71,1.66
63.9,57.8,0,1.82,1.79,2.14,2.08
75.3,70.2,-0.75,1.98,1.93,1.99,1.93
42.2,57.8,0.25,2.11,2.04,1.87,1.83
45.3,61.9,-0.25,1.89,1.84,2.08,2.03
76.9,69.2,-0.5,1.88,1.85,2.12,2.03
72.2,76.1,-1,2.45,2.28,1.7,1.65
69.7,91.5,2,1.97,1.93,1.98,1.92
58.8,65.1,-0.5,1.97,1.93,1.99,1.94
59.5,64.3,-0.25,2.12,2.07,1.85,1.81
63.9,78,1,1.86,1.81,2.11,2.05
61.9,76.9,0.25,1.93,1.87,2.03,1.99
91.5,75.3,-2,2.17,2.09,1.85,1.78
78,72.2,-0.75,1.9,1.86,2.06,2
57.8,58.8,-0.5,2.11,2.06,1.86,1.82
64.3,45.3,-0.5,2.12,2.08,1.85,1.8
76.1,63.9,-0.5,1.89,1.85,2.07,2.02
69.2,59.5,-1,2.47,2.37,1.65,1.61
65.1,69.7,-0.25,1.89,1.86,2.05,2
70.2,42.2,-1,2.15,2.07,1.84,1.8
63.9,65.1,-0.5,2.11,2.07,1.86,1.81
42.2,78,1.25,2.06,2,1.91,1.86
45.3,91.5,1.5,1.84,1.8,2.15,2.07
76.9,70.2,-0.5,1.9,1.86,2.06,2.01
72.2,61.9,-1,1.85,1.81,2.11,2.06
75.3,64.3,-0.5,1.87,1.82,2.1,2.05
69.7,69.2,0.25,1.83,1.79,2.13,2.09
59.5,57.8,0,1.91,1.87,2.04,1.98
58.8,76.1,0,1.86,1.81,2.1,2.06
65.1,76.9,0.25,1.92,1.88,2.02,1.98
78,58.8,-1.25,2.01,1.96,1.93,1.96
70.2,45.3,-0.25,1.85,1.8,2.12,2.09
61.9,59.5,-0.5,2.07,2.03,1.88,1.83
64.3,91.5,1.25,1.97,1.93,1.97,1.93
76.1,42.2,-1.25,2.07,2.02,1.88,1.84
63.9,69.7,-0.5,2.01,1.97,1.95,2.09
57.8,75.3,0,1.83,1.79,2.12,2.09
69.2,72.2,0,1.92,1.87,2.02,1.77
58.8,69.7,-0.5,1.95,1.91,2,1.95
91.5,61.9,-2.25,2.1,2.04,1.86,1.83
42.2,65.1,0,2.07,2.01,1.9,1.84
59.5,78,1,1.97,1.9,2.01,1.95
64.3,70.2,-0.25,1.84,1.8,2.16,2.08
76.9,63.9,-0.5,1.74,1.71,2.26,2.19
72.2,57.8,-0.75,1.91,1.86,2.04,2
45.3,69.2,0,1.93,1.89,2.02,1.96
75.3,76.1,-0.5,2.08,2.03,1.88,1.84
65.1,72.2,0.5,1.99,1.94,1.97,1.93
78,76.9,-1,1.83,1.79,2.14,2.09
57.8,91.5,1.25,1.95,1.91,2.01,1.95
76.1,45.3,-0.75,2.04,1.99,1.92,1.87
63.9,58.8,-0.25,2,1.96,1.97,1.91
69.2,75.3,-0.25,2.01,1.94,1.97,1.93
69.7,42.2,-0.75,1.94,1.88,2.02,1.98
70.2,59.5,-0.25,1.86,1.83,2.12,2.05
61.9,64.3,0,1.82,1.78,2.18,2.09
76.9,69.7,-1,1.92,1.86,2.04,2
91.5,70.2,-2.5,2.08,2.01,1.9,1.84
42.2,63.9,0.25,2.05,1.99,1.91,1.88
59.5,76.1,0.25,1.92,1.87,2.03,1.99
64.3,78,0.75,2.05,1.99,1.93,1.87
45.3,57.8,-0.25,2.17,2.12,1.8,1.77
72.2,58.8,-1,2.11,2.04,1.86,1.82
61.9,69.2,0,2.04,1.98,1.91,1.87
75.3,65.1,-0.75,2.01,1.97,1.93,1.89
78,45.3,-1.5,1.89,1.84,2.1,2.02
65.1,59.5,-0.25,2.08,2.02,1.93,1.85
70.2,61.9,-0.25,1.95,1.92,2,1.95
57.8,64.3,-0.25,2.06,2.01,1.88,1.85
76.1,76.9,-0.25,2,1.88,2.04,1.98
69.7,72.2,0.5,1.89,1.85,2.06,2.01
58.8,42.2,-1,1.99,1.91,2.02,1.94
63.9,75.3,0,1.98,1.92,2,1.92
69.2,91.5,1.5,1.76,1.72,2.27,2.16
64.3,76.1,0,2.12,2.02,1.99,1.84
91.5,65.1,-2.5,1.97,1.91,2,1.94
70.2,69.2,0,1.87,1.83,2.12,2.04
59.5,69.7,-0.25,1.97,1.93,1.98,1.93
61.9,57.8,-0.25,2.05,1.98,1.94,1.89
72.2,42.2,-1.25,1.85,1.81,2.11,2.05
75.3,78,0.5,1.95,1.9,2.01,1.96
45.3,63.9,-0.25,1.89,1.86,2.05,2
76.9,58.8,-0.5,1.85,1.82,2.11,2.05
78,61.9,-2,2.42,2.35,1.66,1.62
57.8,70.2,-0.25,2.04,2,1.93,1.88
76.1,91.5,1,2.05,2,1.93,1.86
69.7,75.3,0.25,1.86,1.83,2.09,2.04
65.1,45.3,0,1.94,1.89,2.03,1.96
42.2,76.9,0.75,2,1.95,1.94,1.91
63.9,72.2,0.25,2.02,1.97,1.94,1.89
69.2,64.3,-0.5,1.84,1.8,2.14,2.08
58.8,59.5,-0.75,1.98,1.93,1.99,1.93
70.2,69.7,-0.5,2.07,2.02,1.91,1.85
91.5,78,-1,2.14,2.06,1.85,1.81
57.8,69.2,0,1.89,1.85,2.06,2
59.5,63.9,-0.25,2.13,2.09,1.84,1.8
61.9,76.1,0.25,2.03,1.99,1.93,1.87
72.2,76.9,-0.5,2.05,1.95,1.98,1.93
75.3,58.8,-0.5,2.1,2.05,1.88,1.83
64.3,65.1,-0.75,2.12,2.05,1.85,1.82
45.3,42.2,-1,1.97,1.92,1.98,1.93
65.1,57.8,0,2.05,2,1.92,1.86
78,70.2,-1.5,2.35,2.24,1.78,1.68
76.1,69.2,-0.5,2.03,1.98,1.93,1.89
76.9,91.5,1,1.78,1.73,2.21,2.16
63.9,64.3,-0.25,1.94,1.91,2.01,1.97
72.2,59.5,-1.5,2.34,2.24,1.71,1.68
58.8,45.3,-0.5,2.09,2.05,1.86,1.83
42.2,75.3,0.75,2.07,2.01,1.9,1.86
69.7,61.9,-0.25,2,1.96,1.96,1.91
57.8,76.1,0.25,1.85,1.82,2.11,2.07
91.5,63.9,-2,2.05,1.92,1.99,1.93
70.2,65.1,-0.75,2.04,1.97,1.94,1.9
61.9,42.2,-1.25,2,1.94,1.97,1.92
64.3,58.8,-0.25,2.21,2.14,1.81,1.76
45.3,69.7,-0.25,1.99,1.94,1.97,1.92
69.2,78,0.5,1.89,1.85,2.06,2.02
59.5,76.9,0.25,2.11,2.05,1.88,1.83
75.3,72.2,0.25,1.86,1.83,2.09,2.05
76.9,75.3,-0.25,1.89,1.85,2.07,2.03
42.2,59.5,0.25,1.97,1.94,1.98,1.94
78,57.8,-1.5,1.8,1.76,2.19,2.11
63.9,69.2,-0.25,1.9,1.86,2.05,2.01
72.2,45.3,-1,1.83,1.79,2.13,2.08
69.7,64.3,-0.5,2.01,1.97,1.94,1.9
58.8,91.5,1.5,1.82,1.77,2.2,2.1
65.1,61.9,-0.25,2.21,2.14,1.78,1.75
76.1,70.2,-1,1.99,1.94,1.96,1.92
57.8,69.7,-0.25,2.25,2.19,1.84,1.73
91.5,42.2,-3.25,2.04,1.99,1.92,1.87
78,76.1,-1.25,2.06,2.01,1.91,1.85
70.2,58.8,0,1.94,1.9,2.01,1.97
64.3,72.2,0.25,2.05,2.02,1.89,1.85
45.3,76.9,-0.25,2.2,2.12,1.84,1.77
69.2,65.1,-0.75,2,1.95,1.96,1.92
59.5,75.3,0.25,2.07,2.03,1.87,1.85
61.9,63.9,-0.25,2.09,2.05,1.86,1.83
65.1,78,1.25,1.83,1.8,2.12,2.07
42.2,64.3,0.25,2.06,2,1.92,1.87
59.5,45.3,-0.25,2.11,2.05,1.87,1.83
76.9,57.8,-0.25,1.91,1.88,2.03,1.99
63.9,70.2,-0.75,1.99,1.94,1.95,1.92
72.2,91.5,0.5,1.97,1.92,1.99,1.94
75.3,61.9,-0.5,2.05,2.02,1.89,1.86
69.7,76.1,0.25,1.75,1.7,2.29,2.21
58.8,69.2,-0.5,2.03,1.98,1.95,1.89
91.5,59.5,-2.25,1.93,1.88,2.03,1.98
78,69.7,-2.25,2.01,1.97,1.93,1.89
70.2,72.2,0.5,1.97,1.93,1.97,1.94
57.8,63.9,-1,2.14,2.08,1.85,1.8
61.9,58.8,0,1.95,1.9,1.99,1.95
64.3,76.9,-0.5,2.06,2.02,1.9,1.86
76.1,65.1,-1.5,1.99,1.93,1.98,1.93
45.3,75.3,0,1.99,1.95,1.94,1.91
69.2,42.2,-1.5,1.94,1.9,2,1.95
62.8,73.8,-0.5,2.01,1.95,1.94,1.89
56.9,50.5,-1,2.29,2.11,1.82,1.76
89.4,71.8,-2.5,1.87,1.78,2.15,2.08
40,72.4,0,1.83,1.79,2.15,2.07
75.5,72,-1,2.26,2.16,1.84,1.72
82.5,68.2,-1.5,1.82,1.76,2.17,2.09
76.5,90.6,1,1.68,1.64,2.38,2.29
54.5,69.3,0.5,1.98,1.91,1.98,1.94
69.5,65.9,-1,2.16,2.07,1.9,1.78
76.2,52.9,-1,2.45,2.32,1.68,1.62
71.8,62.8,-0.25,1.92,1.88,2.05,1.98
72,56.9,-0.25,2.03,1.98,1.92,1.88
73.8,76.2,0.25,1.67,1.63,2.4,2.32
65.9,82.5,1,1.88,1.83,2.1,2.03
50.5,76.5,0.25,1.8,1.75,2.23,2.13
90.6,69.5,-2,1.99,1.92,1.98,1.93
68.2,54.5,-0.25,1.9,1.84,2.12,2.02
69.3,89.4,1,2.06,2,1.9,1.85
52.9,40,-0.25,1.68,1.63,2.42,2.32
72.4,75.5,0,1.86,1.8,2.13,2.05
76.5,72,-0.75,2.43,2.35,1.67,1.62
89.4,68.2,-2.5,1.7,1.66,2.35,2.25
69.5,82.5,0.75,1.88,1.84,2.08,2.02
56.9,72.4,-0.25,2.08,2,1.91,1.86
90.6,50.5,-3,1.85,1.8,2.13,2.06
75.5,52.9,-1,1.95,1.87,2.05,1.98
40,73.8,-0.25,2.02,1.91,2.01,1.95
62.8,69.3,0.25,2.02,1.97,1.93,1.88
54.5,65.9,-0.25,1.95,1.91,2,1.94
76.2,71.8,-1,2.26,2.18,1.75,1.71
71.8,40,-1,2.5,2.34,1.65,1.62
82.5,54.5,1.75,2.03,1.97,1.92,1.88
73.8,75.5,0.25,1.85,1.81,2.1,2.05
52.9,56.9,-0.25,1.99,1.94,1.97,1.92
65.9,89.4,2,2,1.94,1.96,1.9
69.3,76.2,-0.5,1.94,1.9,2,1.94
72,90.6,1.5,1.85,1.78,2.15,2.06
50.5,69.5,0,2.08,2.02,1.87,1.83
72.4,76.5,-0.5,1.89,1.85,2.06,1.99
68.2,62.8,-0.25,2.01,1.94,1.96,1.91
56.9,73.8,-0.5,1.89,1.84,2.06,2.01
75.5,71.8,-1,1.8,1.75,2.2,2.12
89.4,82.5,-1,2.15,2.05,1.86,1.8
69.5,54.5,-1,2.05,1.97,1.93,1.88
40,69.3,0.75,1.75,1.71,2.28,2.19
90.6,72.4,-2,2.1,2.02,1.89,1.83
76.5,52.9,-0.5,2.04,1.99,1.91,1.85
62.8,65.9,-0.25,1.88,1.82,2.08,2.04
50.5,72,0,2.1,2.04,1.85,1.81
76.2,68.2,-1,2.03,1.97,1.92,1.87
71.8,56.9,0.25,1.65,1.59,2.5,2.41
69.3,75.5,-0.5,2.11,2.06,1.85,1.8
73.8,76.5,0.25,1.6,1.56,2.62,2.47
52.9,90.6,1.5,1.92,1.87,2.12,1.99
54.5,89.4,2,1.68,1.64,2.38,2.3
82.5,62.8,-2,2.36,2.25,1.7,1.67
72,69.5,-0.25,2,1.95,1.96,1.9
65.9,76.2,0,2.06,1.99,1.91,1.86
72.4,50.5,-1.5,2.28,2.18,1.74,1.71
68.2,40,-0.5,2.12,2.08,1.84,1.79
76.5,71.8,-1,2.66,2.51,1.6,1.55
40,65.9,0,1.79,1.75,2.21,2.12
62.8,54.5,-0.5,2.01,1.96,1.95,1.89
50.5,52.9,0,1.94,1.87,2.04,1.97
75.5,68.2,-1,1.79,1.74,2.21,2.13
69.5,89.4,1,2.38,2.3,1.69,1.64
72,72.4,0,2.03,1.97,1.92,1.88
56.9,69.3,0,1.8,1.72,2.28,2.17
90.6,73.8,-2.75,1.88,1.83,2.13,2.02
76.2,82.5,0.75,1.75,1.7,2.28,2.2
52.9,72,-0.5,2.05,2,1.91,1.86
82.5,40,-2.5,2.15,2.08,1.81,1.78
89.4,62.8,-2.5,1.95,1.89,2.01,1.96
71.8,90.6,1.5,1.9,1.86,2.04,1.99
65.9,75.5,0.25,2,1.94,1.99,1.91
68.2,56.9,-0.25,2.33,2.23,1.72,1.68
69.3,76.5,-0.75,2.19,2.11,1.82,1.77
54.5,76.2,0.25,2.11,2.04,1.86,1.82
72.4,69.5,-0.75,2.21,2.13,1.8,1.74
73.8,50.5,-1,2.5,2.41,1.62,1.59
50.5,71.8,0,1.85,1.79,2.15,2.06
72,73.8,-0.5,2.12,2.05,1.85,1.81
40,54.5,-0.25,1.9,1.83,2.09,2.03
76.5,68.2,-1,2.34,2.23,1.72,1.68
76.2,89.4,1,2.4,2.27,1.7,1.66
69.5,62.8,-1,2.51,2.38,1.65,1.6
56.9,65.9,-0.75,2.23,2.15,1.8,1.73
90.6,69.3,-2,2.05,1.99,1.92,1.85
75.5,82.5,0.75,1.68,1.65,2.36,2.28
72.4,52.9,-1,2.3,2.22,1.72,1.68
65.9,76.5,0.25,1.64,1.57,2.61,2.47
68.2,90.6,2,1.85,1.8,2.13,2.05
82.5,56.9,-2,2.49,2.39,1.65,1.6
89.4,40,-3.5,2.04,1.92,2,1.94
54.5,75.5,0.5,2.01,1.94,1.96,1.91
69.3,50.5,-1.5,2.2,2.12,1.79,1.75
71.8,72,-0.25,1.95,1.91,2,1.94
73.8,72.4,0.25,1.81,1.78,2.15,2.1
52.9,69.5,-0.25,2.08,2.01,1.89,1.85
62.8,76.2,0,2.12,2,1.89,1.84
56.9,54.5,-0.75,1.97,1.92,2.01,1.94
40,62.8,0,1.9,1.85,2.05,1.99
52.9,73.8,-0.75,2.3,2.22,1.74,1.69
50.5,68.2,-0.25,1.98,1.92,1.98,1.93
76.5,82.5,1,1.67,1.63,2.42,2.32
69.5,76.2,-0.25,2.01,1.96,1.95,1.89
72,69.3,0,2.08,2.01,1.88,1.83
90.6,65.9,-3,2.08,1.99,1.91,1.86
75.5,89.4,1,1.88,1.84,2.08,2.01
72.4,71.8,-1,1.94,1.87,2.04,1.98
71.8,52.9,-0.5,2.4,2.33,1.67,1.63
82.5,90.6,-0.25,2.14,2.07,1.84,1.8
89.4,56.9,-2.5,2.08,2,1.91,1.86
73.8,69.5,-0.25,2.03,1.98,1.93,1.88
62.8,75.5,0.25,1.98,1.93,1.97,1.93
68.2,72,-0.25,2.2,2.13,1.8,1.76
69.3,72.4,-0.25,1.86,1.83,2.1,2.04
54.5,76.5,0.25,1.99,1.94,1.98,1.92
76.2,40,-1.5,2.05,1.98,1.92,1.87
65.9,50.5,-0.75,2.23,2.15,1.77,1.73
73.8,71.8,-0.5,2,1.95,1.95,1.9
72,65.9,-0.5,1.87,1.83,2.12,2.02
56.9,62.8,-0.25,1.76,1.72,2.27,2.16
90.6,54.5,-3.25,2.05,1.99,1.91,1.87
75.5,76.2,-1,2.35,2.26,1.7,1.66
69.5,40,-1,2.02,1.95,1.96,1.89
50.5,82.5,1.5,1.98,1.92,1.98,1.92
76.5,89.4,1,2.21,2.13,1.8,1.74
72.4,68.2,-1,1.93,1.89,2.01,1.96
52.9,69.3,0,1.92,1.87,2.02,1.97
82.5,72,-2,2.41,2.3,1.67,1.64
89.4,90.6,-1,2.5,2.41,1.62,1.59
40,75.5,1,1.62,1.58,2.53,2.41
65.9,72.4,0.25,1.96,1.91,2.03,1.94
68.2,52.9,-0.25,2.16,2.09,1.83,1.78
69.3,73.8,-0.75,2.25,2.17,1.76,1.72
71.8,69.5,-0.25,2.13,2.05,1.85,1.81
54.5,50.5,-0.75,2.44,2.36,1.67,1.61
76.2,56.9,-1,2.45,2.34,1.66,1.62
62.8,76.5,0.25,1.78,1.74,2.21,2.14
56.9,40,-1,2.28,2.11,1.83,1.76
52.9,65.9,-0.75,2.11,2.02,1.9,1.84
50.5,89.4,2,2.12,2.04,1.92,1.82
90.6,62.8,-2,1.9,1.81,2.35,2.06
76.5,76.2,-0.5,2.01,1.93,2.01,1.95
71.8,69.3,0.25,1.86,1.82,2.13,2.05
69.5,75.5,0,1.99,1.95,1.97,1.9
73.8,68.2,-0.25,1.66,1.59,2.51,2.41
72,54.5,-0.75,1.99,1.94,1.96,1.92
72.4,82.5,0.5,2.01,1.93,1.98,1.93
68.2,71.8,-0.25,2.05,2,1.9,1.86
82.5,52.9,-1.5,1.92,1.87,2.04,1.98
40,76.5,0.5,1.84,1.8,2.13,2.07
75.5,56.9,-1,1.92,1.86,2.03,1.99
54.5,72.4,0.25,2.03,1.98,1.92,1.87
89.4,72,-2.5,1.93,1.88,2.02,1.97
62.8,50.5,-1,2.04,1.97,1.93,1.88
65.9,73.8,0,1.89,1.84,2.07,2.01
69.3,69.5,-0.75,2.19,2.12,1.79,1.75
72,62.8,-0.5,2.14,2.07,1.85,1.81
73.8,82.5,1,1.69,1.64,2.41,2.3
52.9,54.5,-1,2.19,2.14,1.78,1.73
90.6,40,-3,1.97,1.91,2,1.94
76.5,75.5,-0.25,2.03,1.99,1.92,1.88
69.3,68.2,-1,2.07,1.99,1.9,1.85
71.8,65.9,-0.25,1.86,1.82,2.14,2.06
69.5,56.9,-0.5,1.9,1.86,2.06,1.99
72.4,89.4,1,2.04,1.95,1.96,1.89
50.5,76.2,0.5,1.93,1.89,2.01,1.96
82.5,71.8,-1.5,1.71,1.68,2.3,2.23
89.4,52.9,-2.5,1.82,1.78,2.14,2.08
62.8,72.4,0,1.93,1.89,2.02,1.96
65.9,69.3,0.25,1.9,1.86,2.05,2
69.5,68.2,-0.75,1.94,1.9,2,1.96
40,50.5,-0.5,2.06,2.01,1.9,1.86
75.5,90.6,0.5,1.93,1.9,2.01,1.97
54.5,73.8,0,2.11,2.04,1.88,1.82
76.2,72,-0.5,2.01,1.96,1.97,1.91
56.9,76.5,-0.25,2.16,2.1,1.82,1.79
52.9,62.8,-0.25,2.05,2.01,1.91,1.86
68.2,65.9,-0.25,1.97,1.92,2,1.95
72,40,-1,2.18,2.1,1.82,1.78
90.6,56.9,-2.5,2.05,1.97,1.95,1.88
72.4,76.2,-0.5,1.93,1.86,2.06,2.01
69.3,82.5,0.5,1.85,1.8,2.13,2.08
71.8,54.5,-1,2.42,2.3,1.68,1.64
73.8,89.4,1.5,2.07,2,1.92,1.85
50.5,75.5,1,2.05,2,1.9,1.86
76.5,69.5,-0.5,2.01,1.96,1.97,1.91
50.5,56.9,0,2.16,2.08,1.85,1.8
68.2,82.5,1,1.74,1.7,2.3,2.21
73.8,62.8,-0.25,1.88,1.84,2.09,2.03
65.9,69.5,-0.25,2.04,2,1.91,1.87
72.4,40,-1.25,1.89,1.85,2.08,2.02
69.3,54.5,-1.5,2.07,2,1.9,1.85
71.8,89.4,1.75,2.15,2.11,1.83,1.76
72,75.5,0.25,2.03,1.98,1.92,1.88
90.6,76.5,-2,2.2,2.14,1.77,1.74
52.9,76.2,0,1.88,1.83,2.08,2.02
82.5,65.9,-1.5,2.03,1.96,1.93,1.89
89.4,69.3,-2,2.07,2.02,1.88,1.84
56.9,72,-0.25,1.89,1.85,2.08,2.02
76.2,73.8,-0.5,1.96,1.91,2.02,1.96
75.5,72.4,-0.75,1.86,1.82,2.12,2.05
76.5,50.5,-1.5,2.01,1.95,1.95,1.9
54.5,68.2,-0.25,1.9,1.86,2.07,2.01
40,52.9,0.25,1.88,1.82,2.11,2.05
72,76.5,0,2.05,1.98,1.93,1.88
68.2,89.4,1.5,2,1.94,1.96,1.91
69.3,62.8,-1,2.42,2.33,1.67,1.64
71.8,76.2,0,1.82,1.78,2.17,2.11
50.5,90.6,2,1.85,1.8,2.15,2.08
82.5,69.5,-1.5,2.19,2.12,1.82,1.76
52.9,75.5,0.25,2.01,1.97,1.94,1.9
65.9,54.5,-0.5,1.88,1.83,2.08,2.04
72.4,56.9,-1,2.58,2.48,1.6,1.57
73.8,40,-1,2.05,2,1.9,1.86
40,71.8,0,2.13,2.06,1.83,1.8
62.8,68.2,-0.5,2.05,2,1.91,1.94
90.6,72,-2.25,2.05,2,1.9,1.85
75.5,73.8,-1,1.88,1.84,2.07,2.01
54.5,82.5,1,2.04,1.99,1.91,1.87
89.4,65.9,-2.75,2.04,1.98,1.91,1.86
69.5,50.5,-1,2.07,2.01,1.88,1.84
76.5,72.4,-0.5,1.95,1.91,2,1.94
76.2,69.3,-0.25,2.04,1.98,1.92,1.88
56.9,52.9,-0.25,1.73,1.68,2.33,1.89
76.2,90.6,1,1.99,1.95,1.98,1.91
52.9,76.5,-0.25,2.35,2.28,1.7,1.67
68.2,76.2,0,1.9,1.86,2.08,2
71.8,75.5,0.5,1.85,1.8,2.13,2.07
73.8,56.9,-0.5,2.09,2.05,1.9,1.83
65.9,62.8,-0.25,2.21,2.11,1.81,1.78
69.3,40,-1.5,2.43,2.34,1.66,1.62
82.5,89.4,0.25,1.83,1.79,2.15,2.08
72,50.5,-1,2.26,2.18,1.74,1.71
54.5,69.5,0,1.97,1.92,1.99,1.93
72.4,90.6,1,1.76,1.72,2.26,2.16
56.9,71.8,-0.5,1.98,1.94,1.99,1.93
76.5,73.8,-0.5,1.86,1.82,2.11,2.06
76.2,65.9,-1,2.6,2.48,1.61,1.56
89.4,54.5,-3,1.87,1.8,2.12,2.07
69.5,72,-0.5,1.95,1.91,1.99,1.95
40,68.2,0,1.93,1.89,2.04,1.98
50.5,72.4,0.5,1.83,1.81,2.14,2.07
90.6,52.9,-2.5,2.06,2.01,1.9,1.85
62.8,82.5,1,1.71,1.66,2.35,2.27
75.5,69.3,-0.5,1.72,1.66,2.36,2.28
71.8,76.5,-0.25,2.3,2.2,1.77,1.72
89.4,69.5,-2.5,1.95,1.91,2,1.96
73.8,90.6,1,1.91,1.75,2.26,2.14
65.9,40,-0.5,1.86,1.81,2.12,2.08
72.4,72,-0.75,2.06,2,1.91,1.87
69.3,56.9,-1,2.54,2.44,1.6,1.57
82.5,76.2,-1,1.84,1.79,2.15,2.09
52.9,50.5,-1,2.04,2,1.9,1.86
54.5,62.8,0,1.91,1.85,2.1,2.01
68.2,75.5,0.5,1.92,1.88,2.03,1.99
62.8,71.8,-0.25,1.83,1.78,2.16,2.1
72,52.9,-0.25,1.95,1.91,2.01,1.96
40,82.5,1,2.13,2.05,1.85,1.82
56.9,68.2,-0.25,1.75,1.71,2.26,2.19
75.5,65.9,-1.25,2.01,1.95,1.96,1.91
76.2,54.5,-1,1.82,1.77,2.18,2.1
69.5,72.4,0,1.99,1.94,1.96,1.91
62.8,89.4,2,1.9,1.84,2.06,2.01
90.6,71.8,-2.5,2.02,1.96,1.95,1.89
76.5,69.3,-0.25,1.92,1.86,2.07,2.01
50.5,73.8,0.25,2.14,2.08,1.83,1.8
52.9,72.4,0,1.96,1.88,2.05,1.98
68.2,76.5,0,2.02,1.83,2.12,2.03
69.3,90.6,1,1.75,1.71,2.26,2.18
71.8,50.5,-1,1.85,1.78,2.16,2.08
73.8,72,-0.5,1.97,1.91,2,1.96
82.5,75.5,-0.75,1.99,1.85,2.07,2.01
89.4,76.2,-2.5,1.91,1.87,2.03,1.98
62.8,69.5,-0.25,1.9,1.86,2.07,2.01
65.9,56.9,-0.25,2.08,2.03,1.89,1.83
54.5,40,-0.25,1.79,1.75,2.2,2.13
72,71.8,-0.25,2.07,2,1.93,1.87
56.9,82.5,0.75,1.93,1.89,2.01,1.98
50.5,69.3,1,1.87,1.82,2.11,2.04
76.5,65.9,-0.5,1.83,1.78,2.2,2.1
72.4,73.8,-0.5,1.93,1.88,2.04,1.99
40,89.4,2,2.12,2.05,1.86,1.82
90.6,68.2,-2.5,2.02,1.95,1.96,1.9
75.5,54.5,-1.5,1.98,1.94,1.96,1.92
76.2,62.8,-0.75,2.18,2.09,1.81,1.78
69.5,52.9,-0.5,1.97,1.93,1.98,1.93
69.3,72,-1,1.93,1.89,2.04,1.97
82.5,76.5,-1.25,1.95,1.89,2.02,1.97
71.8,72.4,0,1.99,1.93,1.99,1.93
68.2,50.5,-1,1.77,1.72,2.3,2.17
89.4,75.5,-2,2.03,1.97,1.92,1.88
62.8,40,-1,2.09,2.05,1.87,1.82
65.9,90.6,1.5,1.87,1.82,2.13,2.04
54.5,56.9,0,2.02,1.96,1.94,1.9
73.8,52.9,-0.5,1.86,1.83,2.1,2.04
76.2,69.5,-0.5,2.05,2,1.93,1.87
72.4,69.3,-0.25,1.98,1.94,1.98,1.94
72,68.2,-0.25,1.95,1.91,2.02,1.96
56.9,89.4,1.5,1.94,1.9,2.02,1.96
90.6,82.5,-1,2.46,2.39,1.63,1.61
75.5,62.8,-1,1.94,1.89,2.02,1.98
69.5,73.8,-0.25,2.02,1.97,1.94,1.9
40,76.2,0.25,2.09,2.02,1.89,1.85
52.9,71.8,-0.25,1.85,1.82,2.11,2.06
50.5,65.9,0.25,2.08,2.04,1.89,1.84
76.5,54.5,-1.5,2.36,2.3,1.67,1.64
69.3,52.9,-1,1.85,1.78,2.16,2.09
82.5,50.5,-2,1.95,1.91,2.01,1.96
89.4,76.5,-2,2.06,1.99,1.9,1.87
62.8,56.9,-0.25,1.99,1.95,1.95,1.92
54.5,90.6,1.5,1.8,1.75,2.2,2.12
71.8,73.8,0,1.95,1.9,2.02,1.96
40,69.5,0,2.06,1.99,1.91,1.87
65.9,72,-0.25,1.86,1.78,2.16,2.11
76.2,75.5,0,1.92,1.87,2.05,2
68.2,72.4,0,2.12,2.04,1.86,1.82
75.5,40,-2.25,2,1.95,1.96,1.92
72,82.5,0.75,1.95,1.91,2,1.95
56.9,76.2,-0.25,1.97,1.91,2,1.96
50.5,54.5,-0.25,2.25,2.16,1.77,1.74
72.4,65.9,-1,2.33,2.26,1.71,1.67
69.5,71.8,-0.5,2.12,2.07,1.86,1.81
52.9,68.2,-0.25,1.77,1.72,2.25,2.17
90.6,89.4,-0.5,2.13,2.07,1.87,1.81
76.5,62.8,-1,2.08,2.04,1.86,1.83
73.8,69.3,0.25,1.65,1.6,2.47,2.39
82.5,72.4,-1,1.8,1.75,2.19,2.13
40,56.9,0.25,2.19,2.12,1.8,1.76
54.5,72,-0.25,1.92,1.87,2.06,2
89.4,50.5,-3.5,1.8,1.75,2.21,2.13
62.8,90.6,1.5,1.84,1.79,2.12,2.07
65.9,52.9,-0.5,1.74,1.7,2.3,2.23
76.2,76.5,-0.25,2.29,2.23,1.74,1.7
68.2,73.8,-0.25,2.35,2.29,1.69,1.66
69.3,71.8,-1.5,2.1,2.03,1.88,1.83
75.5,69.5,-1.5,2.03,1.98,1.92,1.88
72.4,54.5,-1.5,2.23,2.16,1.78,1.73
72,89.4,2,2.08,2.01,1.93,1.85
52.9,82.5,0.75,1.99,1.95,1.98,1.92
90.6,76.2,-2.5,2,1.94,1.98,1.93
76.5,40,-2.25,2.02,1.99,1.94,1.89
